position.x,position.z,time,score
-2.816611,3.821515,108.0007,183
-2.877983,3.904789,108.1371,183
-2.892846,3.956633,108.2837,183
-2.912919,4.104735,108.4318,183
-2.903918,4.186422,108.585,183
-2.897081,4.210446,108.7278,183
-2.867281,4.310161,108.8848,183
-2.866438,4.377556,109.0302,183
-2.87429,4.420213,109.1707,183
-2.878071,4.419767,109.3175,183
-2.877738,4.404223,109.4608,183
-2.863138,4.396344,109.6069,183
-2.823877,4.380974,109.7491,183
-2.806372,4.347363,109.9089,183
-2.802883,4.328767,110.0524,183
-2.797608,4.326015,110.2059,183
-2.791807,4.329504,110.3505,183
-2.773253,4.337544,110.5034,183
-2.75055,4.389719,110.645,183
-2.755766,4.426164,110.7932,183
-2.77563,4.483619,110.9443,183
-2.799089,4.553771,111.0877,183
-2.80451,4.568533,111.2271,183
-2.807116,4.554247,111.3762,183
-2.80145,4.527909,111.5183,183
-2.809771,4.49912,111.6624,183
-2.819673,4.468603,111.8092,184
-2.870928,4.408243,111.9738,184
-2.92653,4.364191,112.1207,185
-2.983497,4.31645,112.271,185
-3.009041,4.258329,112.4118,186
-2.98885,4.171974,112.5374,186
-2.932995,4.096568,112.7946,187
-2.894422,4.056953,112.9268,187
-2.83556,4.015161,113.141,188
-2.80491,3.976997,113.2818,189
-2.791196,3.964525,113.4218,189
-2.760928,3.967868,113.5582,189
-2.734522,4.006296,113.6998,190
-2.713039,4.026834,113.8296,190
-2.678369,4.069979,113.9517,191
-2.720655,4.165596,114.1546,192
-2.691489,4.213012,114.2979,192
-2.645741,4.256433,114.4108,192
-2.569399,4.311506,114.5516,192
-2.458733,4.413478,114.8026,193
-2.459013,4.481598,114.9899,193
-2.46231,4.514298,115.1318,193
-2.498227,4.58818,115.2522,193
-2.526198,4.649418,115.3876,193
-2.552477,4.677587,115.5177,193
-2.603325,4.757689,115.6384,194
-2.633119,4.8459,115.7843,194
-2.654514,4.930131,115.9276,195
-2.66868,4.96981,116.0744,196
-2.68681,4.98154,116.2406,196
-2.670247,4.997499,116.3916,197
-2.640933,5.081809,116.5374,197
-2.66069,5.110242,116.6872,198
-2.699603,5.104665,116.8371,198
-2.762492,5.081337,116.9749,199
-2.805515,5.049667,117.1159,199
-2.823986,5.012516,117.2745,200
-2.820986,4.962856,117.4229,200
-2.815063,4.921884,117.5638,201
-2.835335,4.843284,117.7216,201
-2.895453,4.711816,117.8709,202
-2.940202,4.622902,118.0158,202
-2.932432,4.541399,118.1703,202
-2.904563,4.46837,118.3214,202
-2.863315,4.430596,118.4673,202
-2.816532,4.393992,118.6138,202
-2.777542,4.343896,118.753,203
-2.740211,4.311128,118.8939,203
-2.716526,4.306493,119.0421,203
-2.698139,4.34009,119.2078,203
-2.68915,4.406253,119.3483,203
-2.690615,4.510528,119.4872,203
-2.691695,4.561324,119.6268,204
-2.688888,4.594895,119.768,204
-2.659679,4.605884,119.9042,204
-2.624873,4.626853,120.0585,204
-2.611848,4.643197,120.2075,204
-2.584903,4.673783,120.3456,204
-2.564691,4.718509,120.4923,204
-2.583401,4.775672,120.6334,204
-2.606979,4.806458,120.777,204
-2.644117,4.825678,120.9122,204
-2.677349,4.82079,121.0526,204
-2.68802,4.825735,121.1976,205
-2.668648,4.833015,121.3372,205
-2.629303,4.851521,121.4796,206
-2.560772,4.897035,121.6219,206
-2.516365,4.925738,121.7769,206
-2.492243,4.933723,121.9304,206
-2.493872,4.919673,122.0876,206
-2.441893,4.858251,122.2431,207
-2.437913,4.82763,122.3965,207
-2.411949,4.808142,122.5433,208
-2.365054,4.777542,122.6875,208
-2.263277,4.74702,122.8336,209
-2.208677,4.748607,122.985,209
-2.13416,4.763522,123.1247,210
-2.046319,4.787239,123.2736,211
-2.00219,4.792436,123.4061,211
-1.95917,4.798243,123.543,211
-1.961846,4.795815,123.6848,211
-1.982973,4.79547,123.8135,211
-2.004378,4.793573,123.9669,211
-2.040876,4.824878,124.1185,211
-2.08666,4.887209,124.2675,211
-2.137024,5.000825,124.4094,211
-2.16134,5.066486,124.5589,211
-2.22532,5.168613,124.7043,211
-2.325505,5.244866,124.8501,211
-2.388307,5.27761,125.0118,211
-2.424893,5.294319,125.1681,211
-2.425985,5.334708,125.3178,211
-2.41054,5.366267,125.4591,211
-2.384607,5.393702,125.609,211
-2.351727,5.43027,125.7539,211
-2.324636,5.456832,125.892,211
-2.337834,5.483598,126.0444,211
-2.363314,5.47897,126.1843,211
-2.377518,5.451007,126.3301,211
-2.411044,5.388808,126.4678,211
-2.51555,5.339189,126.6051,212
-2.513544,5.282449,126.7485,212
-2.501974,5.242257,126.8922,213
-2.456954,5.130545,127.0415,213
-2.3959,5.062634,127.1847,214
-2.32826,4.999247,127.3256,214
-2.270624,4.944686,127.467,215
-2.233374,4.86605,127.604,215
-2.188391,4.741779,127.7464,216
-2.160411,4.669047,127.8746,216
-2.140127,4.639498,128.0246,217
-2.16451,4.632559,128.1704,217
-2.203509,4.62782,128.3298,217
-2.230916,4.625761,128.5204,217
-2.224078,4.627238,128.6435,217
-2.181134,4.654855,128.7674,217
-2.13499,4.706245,128.9524,217
-2.118261,4.756772,129.1063,217
-2.115508,4.776667,129.2292,217
-2.109876,4.849513,129.3587,217
-2.103104,4.891373,129.5374,217
-2.088129,4.934154,129.6786,217
-2.025636,5.009458,129.7983,217
-1.968362,5.050895,129.9351,217
-1.946404,5.067934,130.0702,217
-1.915626,5.080384,130.1927,217
-1.915054,5.062351,130.3579,217
-1.922968,5.02455,130.4913,217
-1.931741,4.988994,130.6126,217
-1.927114,4.953886,130.7539,217
-1.926572,4.952215,130.8744,217
-1.905407,4.902992,131.0036,217
-1.92764,4.857677,131.2551,217
-1.981655,4.791708,131.4476,217
-2.02228,4.721438,131.5884,217
-2.056942,4.676531,131.7721,217
-2.056133,4.673415,131.8966,217
-2.048332,4.68964,132.0173,217
-1.966146,4.821495,132.261,217
-1.926639,4.88308,132.3954,217
-1.838361,5.042959,132.6529,217
-1.806867,5.21277,132.8264,217
-1.800704,5.257429,132.9467,217
-1.790551,5.344803,133.0512,217
-1.793337,5.454326,133.1951,217
-1.735056,5.580821,133.3764,217
-1.702889,5.605668,133.5118,217
-1.669576,5.616318,133.6259,217
-1.606442,5.614794,133.7589,217
-1.561124,5.63631,133.8843,217
-1.577667,5.649897,134.0392,217
-1.611395,5.673959,134.1852,217
-1.662738,5.655365,134.34,217
-1.702078,5.616177,134.4821,217
-1.800523,5.507213,134.6237,217
-1.856728,5.421305,134.7663,217
-1.916889,5.352212,134.9167,217
-2.014328,5.238826,135.0586,217
-2.108939,5.184765,135.191,217
-2.181931,5.156781,135.3357,217
-2.294226,5.117497,135.4946,217
-2.358314,5.069454,135.6448,217
-2.387723,5.00741,135.7975,217
-2.39575,4.938029,135.9368,217
-2.373098,4.870335,136.0776,217
-2.339303,4.804253,136.2186,217
-2.343056,4.784989,136.3632,217
-2.337138,4.801159,136.4968,217
-2.308288,4.83492,136.6533,217
-2.293016,4.881881,136.8013,217
-2.264617,4.930317,136.9471,217
-2.184471,5.005885,137.099,217
-2.070223,5.054445,137.25,217
-1.954307,5.116726,137.4051,217
-1.869098,5.221874,137.5581,217
-1.824293,5.335493,137.7141,217
-1.785356,5.396653,137.8723,217
-1.734354,5.459274,138.0232,217
-1.656897,5.510283,138.1668,217
-1.61515,5.527278,138.3217,217
-1.630701,5.529379,138.4618,217
-1.646056,5.502355,138.6206,217
-1.680034,5.507914,138.7714,217
-1.694622,5.524405,138.9026,217
-1.760761,5.586946,139.0547,217
-1.800023,5.607462,139.1956,217
-1.828807,5.626348,139.3444,217
-1.863467,5.630997,139.4966,217
-1.928492,5.619645,139.6516,217
-1.993978,5.616963,139.794,217
-2.035084,5.626657,139.9391,217
-2.145186,5.673352,140.0878,217
-2.305168,5.764661,140.2434,217
-2.353283,5.772569,140.3818,217
-2.407166,5.787793,140.5434,217
-2.447225,5.860321,140.6951,217
-2.485975,5.855428,140.8429,217
-2.523443,5.839705,140.9882,222
-2.569615,5.818311,141.1387,227
-2.560566,5.7939,141.2876,227
-2.521748,5.746202,141.4287,227
-2.499846,5.706763,141.588,227
-2.454211,5.606128,141.7344,227
-2.41592,5.554292,141.894,227
-2.365402,5.525851,142.0381,227
-2.28488,5.499469,142.1855,227
-2.230136,5.491838,142.3218,227
-2.192549,5.48883,142.4342,227
-2.129877,5.461399,142.5781,227
-2.046345,5.396106,142.7049,227
-1.994531,5.354081,142.837,227
-1.952181,5.329397,142.9775,232
-1.881542,5.330557,143.1178,232
-1.824609,5.36849,143.2474,232
-1.754311,5.447244,143.3778,237
-1.706023,5.500981,143.5179,242
-1.651788,5.560453,143.6578,242
-1.517376,5.693577,143.8621,247
-1.466566,5.746375,143.9905,247
-1.430567,5.872671,144.1083,252
-1.439142,6.024115,144.3602,252
-1.463082,6.085662,144.5033,252
-1.488531,6.158929,144.6719,252
-1.560885,6.208392,144.9287,257
-1.579799,6.200831,145.058,257
-1.60069,6.190518,145.1819,262
-1.618137,6.189761,145.3242,262
-1.661917,6.202546,145.5173,262
-1.679944,6.184813,145.7054,262
-1.686572,6.166267,145.8393,262
-1.663208,6.135691,145.9495,262
-1.527785,6.076197,146.0808,267
-1.469373,6.051891,146.2159,272
-1.428644,6.013921,146.3384,272
-1.457003,5.954195,146.4837,277
-1.47594,5.911391,146.6308,282
-1.52972,5.878038,146.7625,287
-1.685384,5.812448,146.9028,287
-1.777265,5.743961,147.0451,292
-1.819229,5.672734,147.1819,292
-1.833756,5.579254,147.3162,292
-1.833212,5.513144,147.4738,292
-1.835986,5.420026,147.6072,292
-1.841043,5.330016,147.7559,297
-1.855382,5.221098,147.8994,297
-1.828222,5.172074,148.0404,297
-1.786829,5.160394,148.1813,297
-1.743079,5.158149,148.3286,297
-1.69735,5.14328,148.4818,297
-1.629541,5.094279,148.625,297
-1.581779,5.062206,148.7759,297
-1.507556,5.019282,148.9128,297
-1.42972,5.040082,149.0612,297
-1.393256,5.064514,149.2025,297
-1.347254,5.08533,149.3493,297
-1.315775,5.08616,149.5106,297
-1.273607,5.065346,149.6494,297
-1.267031,5.05389,149.7842,297
-1.290204,5.046798,149.9228,297
-1.347599,5.021099,150.062,297
-1.449175,4.985543,150.205,297
-1.524385,4.939716,150.3516,302
-1.554363,4.879725,150.4969,302
-1.561424,4.836438,150.6422,302
-1.572199,4.758943,150.7807,302
-1.576475,4.676453,150.9135,302
-1.575861,4.663162,151.0488,302
-1.610265,4.621448,151.1841,302
-1.661587,4.60006,151.3232,302
-1.722584,4.565264,151.4765,302
-1.781929,4.526177,151.6283,302
-1.793374,4.514327,151.7701,302
-1.799031,4.491872,151.9171,302
-1.801135,4.498389,152.0531,302
-1.786919,4.522405,152.2027,302
-1.775449,4.58086,152.3487,302
-1.751882,4.617235,152.4942,302
-1.715132,4.675891,152.6428,302
-1.635171,4.754737,152.7816,302
-1.471719,4.852879,152.9194,302
-1.375806,4.919129,153.066,302
-1.317699,5.006813,153.2136,302
-1.265078,5.137121,153.3669,302
-1.252523,5.228565,153.517,302
-1.251222,5.287187,153.66,302
-1.251516,5.376182,153.8194,302
-1.226016,5.455259,153.9685,302
-1.214486,5.50234,154.1069,302
-1.203725,5.512164,154.2526,302
-1.186534,5.509933,154.3954,302
-1.161356,5.533421,154.5408,302
-1.163827,5.564233,154.6857,302
-1.219137,5.561285,154.8333,302
-1.283263,5.557403,154.9833,302
-1.342025,5.539705,155.1304,302
-1.379622,5.526413,155.2762,302
-1.435776,5.462193,155.4142,302
-1.500334,5.393177,155.5626,302
-1.517941,5.340977,155.6981,302
-1.564153,5.256703,155.8496,302
